Klient	PVU-Card Nr	Katalog	Art Nr	Cena	Nazwanie	Razmer	Zwet	Primechanie	URL	Discount
KozSve		AMAZON	ESAX01S	14,9500	AmelloArmbandKeramikRingschwarzDamenEdelstahlschmuckStainlessSteelESAX01S	0	Schwarz	280_KozSve	http://www.amazon.de/Amello-Armband-Edelstahlschmuck-Stainless-ESAX01S/dp/B00DEH1V4A/ref=sr_1_75?s=jewelry&ie=UTF8&qid=1418281584&sr=1-75	1,0000
KozSve		AMAZON	E40504	19,5000	KarismaEdelstahlDamenOhrringe-SchwarzeKeramikGlieder-HochPoliertHohe37mmE4050-4	0	Schwarze	306_KozSve	http://www.amazon.de/Karisma-Edelstahl-Damen-Ohrringe-Schwarze/dp/B00GBJWGUG/ref=sr_1_125?s=jewelry&ie=UTF8&qid=1418365945&sr=1-125	1,0000
KozSve		AMAZON	ESOX01S	9,9500	AmelloOhrringeKeramikRingschwarzDamenOhrsteckerEdelstahlschmuckStainlessSteelESOX01S	0	Schwarze	307_KozSve	http://www.amazon.de/Amello-Ohrstecker-Edelstahlschmuck-Stainless-ESOX01S/dp/B00DEFQFNO/ref=sr_1_14?s=jewelry&ie=UTF8&qid=1418384445&sr=1-14	1,0000
PetTat		OTTO	215528P	119,9900	MORE&MOREBlousonmitMinimuster-Struktur	36	marine	402_PetTat	https://www.otto.de/p/more-more-blouson-mit-minimuster-struktur-460212868/#variationId=460212873	1,0000
AmaNaz8		H&M	470389	7,9900	Jerseyshirt	XL	Taupe	438_AmaNaz8	http://www.hm.com/de/product/22979?article=22979-G&variant=007#article=22979-T	1,0000
KunZar		H&M	422103	8,0000	2er-PackShirts	98/104	Hellrosa/Frozen	448_KunZar	http://tablet.hm.com/de/product/36195?article=36195-K&fromSearch=frozen&cm_vc=SEARCH#article=36195-K	1,0000
KunZar		H&M	422103	8,0000	2er-PackShirts	98/104	Hellrosa/Frozen	449_KunZar	http://tablet.hm.com/de/product/36195?article=36195-K&fromSearch=frozen&cm_vc=SEARCH#article=36195-K	1,0000
KunZar		H&M	422103	8,0000	2er-PackShirts	110/116	Hellrosa/Frozen	450_KunZar	http://tablet.hm.com/de/product/36195?article=36195-K&fromSearch=frozen&cm_vc=SEARCH#article=36195-K	1,0000
KunZar		H&M	422103	8,0000	2er-PackShirts	110/116	Hellrosa/Frozen	451_KunZar	http://tablet.hm.com/de/product/36195?article=36195-K&fromSearch=frozen&cm_vc=SEARCH#article=36195-K	1,0000
KunZar		H&M	422103	8,0000	2er-PackShirts	110/116	Hellrosa/Frozen	452_KunZar	http://tablet.hm.com/de/product/36195?article=36195-K&fromSearch=frozen&cm_vc=SEARCH#article=36195-K	1,0000
